#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA06E2
#Date Time: 2025-04-16 16:18:11.062.406.850
#Sample rate: 4.551Hz
#Samples: 8015
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 4.999333861 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.9983167282 V

Time (s),Channel 1 (V),Channel 2 (V)
-1757.85544,-0.6375981324267479,0.9160194858277039
-1757.63570807,-0.5129119064586672,1.424448226016828
-1757.41597614,-0.1491390570186027,1.707118255349659
-1757.19624421,0.273914712198418,1.69186853741571
-1756.97651228,0.6156240669928639,1.215904402930869
-1756.75678035,0.5572068427357252,0.642074810570946
-1756.53704842,0.2864775561246845,0.2958904921116168
-1756.31731649,-0.0877381573289757,0.154476870651959
-1756.09758456,-0.4468784580711162,0.2719154201020583
-1755.87785263,-0.670025973311423,0.6240738548654086
-1755.6581207,-0.6722244709985196,1.085102698590196
-1755.43838877,-0.4490769557582128,1.502583378730409
-1755.21865684,-0.07831602438427591,1.727713235239837
-1754.99892491,0.3132521172425397,1.678033741764293
-1754.77919298,0.5874361859333037,1.366200592053085
-1754.55946105,0.634625368431167,0.9002981271325013
-1754.33972912,0.4424923741340052,0.4494095597662648
-1754.11999719,0.07762027585050567,0.1823036755417416
-1753.90026526,-0.3291017962619989,0.2025056214645314
-1753.68053333,-0.623386415235159,0.4990890532418089
-1753.4608014,-0.6934242701240941,0.9669566879988314
-1753.24106947,-0.5125978353603973,1.428221352104041
-1753.02133754,-0.148824985920446,1.708375964045242
-1752.80160561,0.2608022438503775,1.700043643937002
-1752.58187368,0.564744549091485,1.404953741235748
-1752.36214175,0.6368238661184384,0.9308761697942827
-1752.14240982,0.4523856137259399,0.4647378844936874
-1751.92267789,0.07683509810511402,0.1845832725524865
-1751.70294596,-0.3388380003052252,0.2051782524426645
-1751.48321403,-0.6325729948562413,0.5248720815012684
-1751.2634821,-0.6869072948373435,1.009089929300875
-1751.04375017,-0.4727893236690406,1.469882952645241
-1750.82401824,-0.0816922886890856,1.722682400457449
-1750.60428631,0.3299764032193818,1.663648698558557
-1750.38455438,0.6010982787031184,1.30897484640404
-1750.16482245,0.6118552138147558,0.8098217078439768
-1749.94509052,0.360990924162352,0.3653002907491253
-1749.72535859,-0.04847927005939323,0.1604509869559801
-1749.50562666,-0.4531598800338814,0.2822129100470366
-1749.28589473,-0.6791340351579661,0.6754826977973798
-1749.0661628,-0.636263330259582,1.190986049399623
-1748.84643087,-0.3382883758834511,1.59565382220358
-1748.62669894,0.08892683538414543,1.73274407002217
-1748.40696701,0.4673825086629205,1.537013154272004
-1748.18723508,0.6348609217549593,1.096815110817817
-1747.96750315,0.5217953264185617,0.5899585064977091
-1747.74777122,0.1765526717698535,0.2324548097781294
-1747.52803929,-0.2591424591479728,0.1795524377701529
-1747.30830736,-0.5979466562844695,0.4560911372115516
-1747.08857543,-0.6918539146333108,0.9443965382718043
-1746.8688435,-0.4986216714924259,1.435295963516698
-1746.64911157,-0.1005365545788596,1.716158036599164
-1746.42937964,0.328955672150621,1.660583033612742
-1746.20964771,0.6020404919975884,1.296319152654733
-1745.98991578,0.6013338320267358,0.7783003836613223
-1745.77018385,0.3229883212856492,0.3332287190121536
-1745.55045192,-0.1083098142582369,0.1593504918473446
-1745.33071999,-0.5074156622408124,0.3329928986313269
-1745.11098806,-0.6944450011931033,0.7794008787699578
-1744.89125613,-0.5860119545545165,1.304572865969499
-1744.6715242,-0.2277353493323068,1.674339222471016
-1744.45179227,0.2167537723339059,1.717415745294748
-1744.23206034,0.5595623759719002,1.419338784441483
-1744.01232841,0.6350179573040377,0.9098095491432608
-1743.79259648,0.4120274776128092,0.415687245365935
-1743.57286455,-0.01008407830974158,0.1629664043471469
-1743.35313262,-0.439654822813513,0.2677492600479384
-1743.13340069,-0.684787314924786,0.6811423869275051
-1742.91366876,-0.6298248727473705,1.21433226706139
-1742.69393683,-0.3030338951149544,1.631419913234326
-1742.4742049,0.1495425573283808,1.73313710398954
-1742.25447297,0.5244649307528934,1.479237161068642
-1742.03474104,0.6425556636596901,0.9763108964226902
-1741.81500911,0.4468893695081984,0.4652095252545312
-1741.59527718,0.03317921546133831,0.1728708603248661
-1741.37554525,-0.4089543729682974,0.248411988853275
-1741.15581332,-0.6741088975874595,0.6467912181793837
-1740.93608139,-0.6382262746230611,1.186348248584659
-1740.71634946,-0.3175596834051115,1.621672670843462
-1740.49661753,0.1412981910017684,1.737460477630608
-1740.2768856,0.5230516108111884,1.48096651052507
-1740.05715367,0.6403571659727009,0.9724591635420087
-1739.83742174,0.4387235209561253,0.4523966179182753
-1739.61768981,0.01362828960108624,0.1716917584227567
-1739.39795788,-0.4290549232507258,0.264447774722032
-1739.17822595,-0.6817251217177586,0.6827145227969843
-1738.95849402,-0.6193820087336616,1.23477003336462
-1738.73876209,-0.2747674962812666,1.643525359429223
-1738.51903016,0.1860533224890925,1.72103165779455
-1738.29929823,0.5467639787220882,1.424133798842918
-1738.0795663,0.6259098954574945,0.8991976320242759
-1737.85983437,0.3893358407709905,0.3972146488995539
-1737.64010244,-0.05405403205127068,0.162180336412621
-1737.42037051,-0.4860588275661595,0.3123979187411488
-1737.20063858,-0.6911472546624584,0.7740556168137284
