#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA06E2
#Date Time: 2025-05-29 19:15:19.750.045.240
#Sample rate: 9.102Hz
#Samples: 9736
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 1 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 5.000310592 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.9978284842 V

Time (s),Channel 1 (V),Channel 2 (V)
-878.92768,0.1527617860844865,-0.9271979016679525
-878.81781404,0.2612733504976125,-0.8732736413448144
-878.7079480800001,0.2598600305559088,-0.8717801122688105
-878.59808212,0.25774005064335,-0.8695005152580643
-878.48821616,0.2575044973197326,-0.8684000201494289
-878.3783502,0.2572689439961151,-0.8686358405298507
-878.26848424,0.2550704463090184,-0.8668278842799495
-878.15861828,0.2546778574363226,-0.8672209182473194
-878.0487523199999,0.2588392994868984,-0.8714656850949133
-877.93888636,0.2640999903810224,-0.8765751266707209
-877.8290204,0.265827381420884,-0.8782258693336741
-877.71915444,0.2655918280972666,-0.8774398013989344
-877.60928848,0.2640999903810224,-0.8758676655294552
-877.4994225199999,0.2625296348902392,-0.8736666753121839
-877.38955656,0.2626081526647783,-0.8732736413448144
-877.2796906,0.2634718481847091,-0.8738238888991322
-877.16982464,0.2650422036754924,-0.8750815975947156
-877.05995868,0.2669266302644324,-0.8768109470511427
-876.95009272,0.2680258791079806,-0.8779900489532522
-876.84022676,0.2685755035297548,-0.8788547236814658
-876.7303608,0.2684184679806765,-0.8789333304749397
-876.62049484,0.2668481124898932,-0.8780686557467261
-876.51062888,0.2677903257843632,-0.8796407916162053
-876.40076292,0.2701458590205381,-0.882392029387794
-876.2908969599999,0.2697532701478395,-0.882077602213895
-876.181031,0.2666125591662757,-0.8785402965075699
-876.07116504,0.2647281325773357,-0.8754746315620854
-875.96129908,0.2655133103227274,-0.8759462723229292
-875.85143312,0.2683399502061373,-0.8801124323770492
-875.74156716,0.2708525189913883,-0.883728344876848
-875.6317012,0.2699103056969206,-0.8822348158008462
-875.52183524,0.2677903257843632,-0.8801910391705231
-875.41196928,0.2663770058426582,-0.8780686557467261
-875.30210332,0.2652777569991099,-0.8753960247686114
-875.19223736,0.2645710970282574,-0.8740597092795541
-875.0823713999999,0.264728132577336,-0.8745313500403984
-874.97250544,0.2649636859009532,-0.8750815975947156
-874.86263948,0.2656703458718057,-0.8758676655294552
-874.75277352,0.2674762546862065,-0.8775970149858824
-874.64290756,0.2692036457260681,-0.8794049712357835
-874.5330416,0.2708525189913891,-0.8807412867248396
-874.42317564,0.2726584278057914,-0.8821562090073721
-874.31330968,0.2740717477474964,-0.8834925244964296
-874.20344372,0.275328032140123,-0.8843571992246431
-874.09357776,0.2765843165327496,-0.8843571992246431
-873.9837118,0.2761917276600538,-0.8861651554745442
-873.8738458399999,0.2752495143655791,-0.8890736068330692
