#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA06E2
#Date Time: 2025-04-14 17:48:18.523.661.880
#Sample rate: 10Hz
#Samples: 14723
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 4.999333861 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.9983167282 V

Time (s),Channel 1 (V),Channel 2 (V)
-800,0.008053527608805528,0.01715080245294716
-799.9,0.8076000257411222,1.725826672196461
-799.8,0.8124681277625504,1.731800788500483
-799.7,0.8109762900463063,1.730936113772269
-799.6,0.8101911123009147,1.72441174991393
-799.5,0.8152162498714212,1.733687351543858
-799.4,0.8118399855662372,1.734630633065545
-799.3,0.810348147849993,1.726219706163831
-799.2,0.8112118433699238,1.727398808065941
-799.1,0.8106622189481496,1.735966948554603
-799,0.8097200056536796,1.725905278989936
-798.9,0.809405934555523,1.729678405076686
-798.8,0.8114473966935413,1.732508249641748
-798.7,0.8090133456828271,1.727005774098571
-798.6,0.8129392344097854,1.732822676815644
-798.5,0.8113688789190021,1.727870448826785
-798.4,0.8097985234282188,1.730936113772269
-798.3,0.8111333255953846,1.730700293391847
-798.2,0.8097985234282188,1.732429642848274
-798.1,0.8127036810861679,1.730150045837529
-798,0.8099555589772971,1.724175929533508
-797.9,0.8083066857119747,1.732586856435222
-797.8,0.8127821988607071,1.728892337141946
-797.7,0.8126251633116287,1.730700293391847
-797.6,0.8092488990064447,1.728813730348472
-797.5,0.8127821988607071,1.726927167305097
-797.4,0.8080711323883571,1.724097322740034
-797.3,0.815137732096882,1.72936397790279
-797.2,0.8142740365769512,1.729599798283212
-797.1,0.8138029299297163,1.727791842033311
-797,0.8131747877334029,1.727477414859415
-796.9,0.8109762900463063,1.725748065402988
-796.8,0.8124681277625504,1.723232648011821
-796.7,0.8105051833990713,1.724490356707404
-796.6,0.8124681277625504,1.725119211055196
-796.5,0.8132533055079421,1.725669458609514
-796.4,0.8127036810861679,1.726534133337727
-796.3,0.8156873565186562,1.727398808065941
-796.2,0.8163154987149696,1.727320201272467
-796.1,0.8166295698131262,1.729128157522368
-796,0.8227539562271811,1.727634628446363
-795.9,0.8441107909018339,1.716236643392638
-795.8,0.8976599131375443,1.678898416492506
-795.7,0.9749999210586219,1.601470724920653
-795.6,1.051476233459769,1.5089505290018
-795.5,1.106360157862645,1.414465163246098
-795.4,1.145933116230384,1.319350943142603
-795.3,1.175377281682571,1.222035732821838
-795.2,1.202858502771279,1.014513798050579
-795.1,1.172393606250083,0.7431631469784612
-795,1.068043483887532,0.4768433306886776
-794.9,0.8861963180548263,0.2609890758091776
-794.8,0.6613214117746579,0.1345893519030466
-794.7,0.4208999861357348,0.1079416489153734
-794.6,0.1837763070274567,0.1865484423893355
-794.5,-0.02311802888324296,0.3686017760750318
-794.4,-0.1566767633743625,0.6366509418212425
-794.3,-0.2016674481853041,0.9317408445224963
-794.2,-0.1576189766688325,1.211895456463697
-794.1,-0.04549559462690497,1.465952612971543
-794,0.1354878756858702,1.65853925698275
-793.9,0.3592635331224903,1.785017587682355
-793.8,0.5941101967691327,1.795865325181762
-793.7,0.8188280675002227,1.731329147739639
-793.6,0.9964352735078139,1.570578255085386
-793.5,1.125204423752044,1.365100096944449
-793.4,1.187940125608837,1.108134489078067
-793.3,1.190060105521395,0.8367052312124761
-793.2,1.112798615374856,0.5770669923679792
-793.1,0.9757065810294744,0.3491072912934891
-793,0.7802758402014928,0.1887494326066065
-792.9,0.5560290761176377,0.1124222361433892
-792.8,0.3262860678160411,0.1286938423924994
-792.7,0.1114614366768858,0.2346557999954003
-792.6,-0.05782288522955387,0.4233121043329094
-792.5,-0.164057434181044,0.6746180230691662
-792.4,-0.1980556305565025,0.9576810863689038
-792.3,-0.1462338993606536,1.240586936081693
-792.2,-0.02382468885409544,1.492993349926586
-792.1,0.161084670185638,1.678269562144715
