#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BA06E2
#Date Time: 2025-05-19 17:53:01.047.964.940
#Sample rate: 13.653Hz
#Samples: 4410
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V Readback: 5.000798957 V
#Negative Supply: ON
#Voltage: -5 V Readback: -4.9992932163 V

Time (s),Channel 1 (V),Channel 2 (V)
-585.9518399999999,-0.5275947302973778,0.5428730372068057
-585.8785960199999,-0.5659114042724903,0.5839843901936866
-585.80535204,-0.5659114042724903,0.5825694679111566
-585.73210806,-0.5634773532617762,0.5793465893787242
-585.6588640799999,-0.5622995866436887,0.5806042980743076
-585.5856201,-0.5556255758078658,0.5749446089441874
-585.51237612,-0.5509145093355098,0.5725077983464895
-585.43913214,-0.5423560719107408,0.5685774586727913
-585.3658881599999,-0.5334835633878151,0.5628391627491921
-585.29264418,-0.5255532681593666,0.560716779325397
-585.2194002,-0.5168377951855122,0.5563147988908532
-585.14615622,-0.509614159927909,0.5532491339453688
-585.0729122399999,-0.5004275803068182,0.5501048622064068
-584.99966826,-0.4911624829112137,0.5462531293261896
-584.92642428,-0.4884143608023345,0.5464103429131341
-584.8531803,-0.4855877209189245,0.5446023866632329
-584.7799363199999,-0.4846455076244533,0.543187464380701
-584.70669234,-0.4833107054572899,0.5425586100329104
-584.63344836,-0.4826825632609754,0.5434232847611234
-584.56020438,-0.4785996389849388,0.5410650809569046
-584.4869603999999,-0.4740456080616648,0.5402790130221644
-584.41371642,-0.4713760037273381,0.5397287654678478
-584.34047244,-0.4658797595095941,0.5352481782398314
-584.26722846,-0.454416164426876,0.5311606249791854
-584.1939844799999,-0.440675553882513,0.5248720815012665
-584.1207405,-0.4306252787415182,0.5227496980774733
-584.04749652,-0.4270134611127075,0.5211775622079922
-583.97425254,-0.4287408521525691,0.5207845282406224
-583.9010085599999,-0.4365141118319546,0.5229855184578954
-583.82776458,-0.4454651381294031,0.5253437222621101
-583.7545206,-0.4590487131246868,0.5306103774248676
-583.6812766199999,-0.4743596791598239,0.5347765374789877
-583.6080326399999,-0.4896706451949798,0.5414581149242832
-583.53478866,-0.5102423021242223,0.5511267505215718
-583.46154468,-0.5257103037084379,0.5584371823146502
-583.3883006999999,-0.5430627318815933,0.5683416382923695
-583.31505672,-0.5564107535532392,0.5747087885637546
-583.24181274,-0.570543952970301,0.5835127494328441
-583.16856876,-0.5815364414057841,0.5907445744324487
-583.0953247799999,-0.5920578231940322,0.5980550062255271
-583.0220808,-0.6042280782475916,0.6070947874750245
-582.94883682,-0.6112161601815884,0.6125186562247362
-582.87559284,-0.6184397954391916,0.6176280978005437
-582.8023488599999,-0.6244071463041705,0.6217942578546658
-582.72910488,-0.6269197150894191,0.6240738548654065
-582.6558609,-0.6272337861875781,0.6250957431805702
-582.58261692,-0.6315522637872322,0.6286330488868984
-582.5093729399999,-0.6330441015034742,0.6301265779629032
-582.43612896,-0.6306885682673035,0.6294977236151126
-582.36288498,-0.6340648325724855,0.633506670082284
-582.289641,-0.6342218681215638,0.6328778157344923
-582.2163970199999,-0.6341433503470237,0.6318559274193303
-582.14315304,-0.6332011370525555,0.6313056798650136
-582.06990906,-0.6307670860418405,0.631462893451961
-581.99666508,-0.6213449530971408,0.6236808208980388
-581.9234210999999,-0.6173405465956407,0.6203007287786581
-581.85017712,-0.6145924244867751,0.6199076948112889
-581.77693314,-0.6087821091708743,0.616999243452752
-581.70368916,-0.6049347382184552,0.6125972630182102
-581.6304451799999,-0.6014014383641869,0.6104748795944095
-581.5572012,-0.5949629808519872,0.6064659331272447
-581.48395722,-0.5864045434272123,0.6004918168232199
-581.41071324,-0.5641840132326287,0.5881505502478079
-581.3374692599999,-0.3864982894502864,0.542086969272108
-581.26422528,-0.1533790168437176,0.588071943454334
-581.1909813,-0.004038209670225875,0.7402546956199246
-581.1177373199999,0.0535938368415212,0.9624761007708155
-581.0444933399999,0.003578014459946727,1.209301432279253
-580.97124936,-0.1353984464742488,1.425312900745504
-580.89800538,-0.3449623867192801,1.574901628726454
-580.8247613999999,-0.5809868169840099,1.62104381649567
-580.75151742,-0.7929062904650234,1.540786280358828
-580.67827344,-0.9248161516910133,1.346627500478068
-580.60502946,-0.9397345288534545,1.083923596688087
-580.5317854799999,-0.8148127495614389,0.8017252081163809
-580.4585415,-0.5902519143798357,0.6015137051385635
-580.38529752,-0.3227418565246964,0.5361914597615189
-580.31205354,-0.07501827785363099,0.6385375048646176
-580.2388095599999,0.05037460808526312,0.9556373097389843
-580.16556558,-0.1171038050064711,1.399372658898693
-580.0923216,-0.5802801570131575,1.607680661605096
-580.01907762,-0.9244235628183174,1.259531173308918
-579.9458336399999,-0.6730881665179489,0.6846010858403222
-579.87258966,-0.1217363537049356,0.6436469464404624
-579.79934568,-0.05672363638600555,1.260238634450184
-579.7261017,-0.6591905204250182,1.564604138781365
-579.6528577199999,-0.8667915163060352,0.9778044254978864
-579.57961374,-0.2783793139106033,0.59113760840017
-579.50636976,-0.02084101342160717,1.138005070598173
-579.43312578,-0.5932355898121197,1.567512590139902
-579.3598817999999,-0.8780195580651454,1.028977448049395
-579.28663782,-0.3002857730070206,0.5972689382911802
-579.21339384,-0.02484541992310459,1.153962249673387
-579.14014986,-0.6241715929805507,1.561774294216303
